agency_name,state_name,agency_id_nces_assigned_district,county_number,agency_name_district
b'HOT SPRINGS COUNTY SCHOOL DISTRICT #1',b'Wyoming',5603310.0,56017.0,b'Hot Springs County School District #1'
b'HOT SPRINGS ELEMENTARY',b'California',617640.0,6107.0,b'Hot Springs Elementary'
b'HOT SPRINGS K-12',b'Montana',3014640.0,30089.0,b'Hot Springs K-12'
b'HOT SPRINGS SCHOOL DISTRICT',b'Arkansas',507890.0,5051.0,b'HOT SPRINGS SCHOOL DISTRICT'
b'HOT SPRINGS SCHOOL DISTRICT 23-2',b'South Dakota',4634480.0,46047.0,b'Hot Springs School District 23-2'
b'HOUGHTON LAKE COMMUNITY SCHOOLS',b'Michigan',2618600.0,26143.0,b'Houghton Lake Community Schools'
b'HOUGHTON-PORTAGE TOWNSHIP SCHOOL DISTRICT',b'Michigan',2628890.0,26061.0,b'Houghton-Portage Township School District'
b'HOULTON-REGION 2',b'Maine',2312260.0,23003.0,b'Houlton-Region 2'
b'HOUSE',b'New Mexico',3501320.0,35037.0,b'HOUSE MUNICIPAL SCHOOLS'
b'HOUSTON CLASSICAL CHARTER SCHOOL',b'TEXAS',4801469.0,48201.0,b'HOUSTON CLASSICAL CHARTER SCHOOL'
b'HOUSTON COUNTY',b'Georgia',1302880.0,13153.0,b'Houston County'
b'HOUSTON COUNTY',b'Tennessee',4701920.0,47083.0,b'Houston County'
b'HOUSTON COUNTY',b'Alabama',101770.0,1069.0,b'Houston County'
b'HOUSTON GATEWAY ACADEMY INC',b'Texas',4800118.0,48201.0,b'HOUSTON GATEWAY ACADEMY INC'
b'HOUSTON HEIGHTS HIGH SCHOOL',b'Texas',4800115.0,48201.0,b'HOUSTON HEIGHTS HIGH SCHOOL'
b'HOUSTON ISD',b'Texas',4823640.0,48201.0,b'HOUSTON ISD'
b'HOUSTON PUBLIC SCHOOL DISTRICT',b'Minnesota',2714280.0,27055.0,b'HOUSTON PUBLIC SCHOOL DISTRICT'
b'HOUSTON R-I',b'Missouri',2914840.0,29215.0,b'HOUSTON R-I'
b'HOVEN SCHOOL DISTRICT 53-2',b'South Dakota',4634600.0,46107.0,b'Hoven School District 53-2'
b'HOWARD COUNTY PUBLIC SCHOOLS',b'Maryland',2400420.0,24027.0,b'Howard County Public Schools'
b'HOWARD GARDNER COMMUNITY CHARTER DISTRICT',b'CALIFORNIA',601520.0,6073.0,b'Howard Gardner Community Charter District'
b'HOWARD GARDNER MULTIPLE INTELLIGENCE CS',b'Pennsylvania',4200867.0,42069.0,b'Howard Gardner Multiple Intelligence CS'
b'HOWARD LAKE-WAVERLY-WINSTED',b'Minnesota',2700123.0,27171.0,b'HOWARD LAKE-WAVERLY-WINSTED'
b'HOWARD SCHOOL',b'Louisiana',2200151.0,22061.0,b'Howard School'
b'HOWARD SCHOOL DISTRICT 48-3',b'South Dakota',4600025.0,46097.0,b'Howard School District 48-3'
b'HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH AND SCIENCE PCS',b'District of Columbia',1100058.0,11001.0,b'Howard University Middle School of Math and Science PCS'
b'HOWARD-SUAMICO SCHOOL DISTRICT',b'Wisconsin',5506630.0,55009.0,b'Howard-Suamico School District'
b'HOWARD-WINNESHIEK COMM SCHOOL DISTRICT',b'Iowa',1914280.0,19089.0,b'Howard-Winneshiek Comm School District'
b'HOWARDS GROVE SCHOOL DISTRICT',b'Wisconsin',5506660.0,55117.0,b'Howards Grove School District'
b'HOWE',b'Oklahoma',4015120.0,40079.0,b'HOWE'
b'HOWE ISD',b'Texas',4823670.0,48181.0,b'HOWE ISD'
b'HOWELL MOUNTAIN ELEMENTARY',b'California',617760.0,6055.0,b'Howell Mountain Elementary'
b'HOWELL PUBLIC SCHOOLS',b'Michigan',2618720.0,26093.0,b'Howell Public Schools'
b'HOWELL TOWNSHIP PUBLIC SCHOOL DISTRICT',b'New Jersey',3407560.0,34025.0,b'Howell Township Public School District'
b'HOWELL VALLEY R-I',b'Missouri',2915210.0,29091.0,b'HOWELL VALLEY R-I'
b'HOWELLS-DODGE CONSOLIDATED SCHOOLS',b'Nebraska',3100183.0,31037.0,b'HOWELLS-DODGE CONSOLIDATED SCHOOLS'
b'HOWLAND LOCAL',b'Ohio',3905016.0,39155.0,b'Howland Local'
b'HOXIE COMMUNITY SCHOOLS',b'Kansas',2007530.0,20179.0,b'Hoxie Community Schools'
b'HOXIE SCHOOL DISTRICT',b'Arkansas',507990.0,5075.0,b'HOXIE SCHOOL DISTRICT'
b'HOZHO ACADEMY',b'NEW MEXICO',3500179.0,35031.0,b'HOZHO ACADEMY'
b'HUBBARD EXEMPTED VILLAGE',b'Ohio',3904542.0,39155.0,b'Hubbard Exempted Village'
b'HUBBARD ISD',b'Texas',4823730.0,48217.0,b'HUBBARD ISD'
b'HUBBARD ISD',b'Texas',4823700.0,48037.0,b'HUBBARD ISD'
b'HUBBARD-RADCLIFFE COMM SCHOOL DISTRICT',b'Iowa',1914310.0,19083.0,b'Hubbard-Radcliffe Comm School District'
b'HUBER HEIGHTS CITY',b'Ohio',3904875.0,39113.0,b'Huber Heights City'
b'HUBER HEIGHTS PREPARATORY ACADEMY DBA PARMA ACADEMY',b'OHIO',3901612.0,39035.0,b'Huber Heights Preparatory Academy dba Parma Academy'
b'HUCKABAY ISD',b'Texas',4823760.0,48143.0,b'HUCKABAY ISD'
b'HUDSON',b'Massachusetts',2506390.0,25017.0,b'Hudson'
b'HUDSON AREA SCHOOLS',b'Michigan',2618810.0,26091.0,b'Hudson Area Schools'
b'HUDSON ARTS AND SCIENCE CHARTER SCHOOL',b'NEW JERSEY',3400787.0,34017.0,b'Hudson Arts and Science Charter School'
b'HUDSON CITY',b'Ohio',3905002.0,39153.0,b'Hudson City'
b'HUDSON CITY SCHOOL DISTRICT',b'New York',3614940.0,36021.0,b'HUDSON CITY SCHOOL DISTRICT'
b'HUDSON COMM SCHOOL DISTRICT',b'Iowa',1914340.0,19013.0,b'Hudson Comm School District'
b'HUDSON COUNTY SCHOOLS OF TECHNOLOGY SCHOOL DISTRICT',b'New Jersey',3407570.0,34017.0,b'Hudson County Schools of Technology School District'
b'HUDSON FALLS CENTRAL SCHOOL DISTRICT',b'New York',3614970.0,36115.0,b'HUDSON FALLS CENTRAL SCHOOL DISTRICT'
b'HUDSON ISD',b'Texas',4823790.0,48005.0,b'HUDSON ISD'
b'HUDSON R-IX',b'Missouri',2915240.0,29013.0,b'HUDSON R-IX'
b'HUDSON SAU OFFICE',b'New Hampshire',3300050.0,33011.0,b'Hudson SAU Office'
b'HUDSON SCHOOL DISTRICT',b'New Hampshire',3303930.0,33011.0,b'Hudson School District'
b'HUDSON SCHOOL DISTRICT',b'Wisconsin',5506690.0,55109.0,b'Hudson School District'
b'HUDSONVILLE PUBLIC SCHOOL DISTRICT',b'Michigan',2618840.0,26139.0,b'Hudsonville Public School District'
b'HUDSPETH CENTER ADMINISTRATION',b'Mississippi',2801196.0,28121.0,b'HUDSPETH CENTER ADMINISTRATION'
b'HUENEME ELEMENTARY',b'California',617850.0,6111.0,b'Hueneme Elementary'
b'HUERFANO SCHOOL DISTRICT RE-1',b'Colorado',807080.0,8055.0,b'Huerfano School District Re-1'
b'HUFFMAN ISD',b'Texas',4823820.0,48201.0,b'HUFFMAN ISD'
b'HUGHES SPRINGS ISD',b'Texas',4823850.0,48067.0,b'HUGHES SPRINGS ISD'
b'HUGHES-ELIZABETH LAKES UNION ELEMENTARY',b'California',617880.0,6037.0,b'Hughes-Elizabeth Lakes Union Elementary'
b'HUGHSON UNIFIED',b'California',600060.0,6099.0,b'Hughson Unified'
b'HUGO',b'Oklahoma',4015210.0,40023.0,b'HUGO'
b'HUGOTON PUBLIC SCHOOLS',b'Kansas',2007560.0,20189.0,b'Hugoton Public Schools'
b'HULBERT',b'Oklahoma',4015240.0,40021.0,b'HULBERT'
b'HULL',b'Massachusetts',2506420.0,25023.0,b'Hull'
b'HULL-DAISETTA ISD',b'Texas',4823880.0,48291.0,b'HULL-DAISETTA ISD'
b'HUMANITIES AND SCIENCES ACADEMY OF THE UNITED STAT (4337)',b'Arizona',400108.0,4013.0,b'Humanities and Sciences Academy of the United Stat (4337)'
b'HUMANSVILLE R-IV',b'Missouri',2915300.0,29167.0,b'HUMANSVILLE R-IV'
b'HUMBLE ISD',b'Texas',4823910.0,48201.0,b'HUMBLE ISD'
b'HUMBOLDT',b'Nevada',3200210.0,32013.0,b'HUMBOLDT COUNTY SCHOOL DISTRICT'
b'HUMBOLDT',b'Kansas',2007590.0,20001.0,b'Humboldt'
b'HUMBOLDT CITY SCHOOLS',b'Tennessee',4701950.0,47053.0,b'Humboldt City Schools'
b'HUMBOLDT COMM SCHOOL DISTRICT',b'Iowa',1914370.0,19091.0,b'Humboldt Comm School District'
b'HUMBOLDT COUNTY OFFICE OF EDUCATION',b'California',691009.0,6023.0,b'Humboldt County Office of Education'
b'HUMBOLDT COUNTY ROP',b'California',600100.0,6023.0,b'Humboldt County ROP'
b'HUMBOLDT TABLE ROCK STEINAUER',b'Nebraska',3100179.0,31147.0,b'HUMBOLDT TABLE ROCK STEINAUER'
b'HUMBOLDT UNIFIED DISTRICT (4469)',b'Arizona',403870.0,4025.0,b'Humboldt Unified District (4469)'
b'HUME LAKE CHARTER DISTRICT',b'CALIFORNIA',601752.0,6019.0,b'Hume Lake Charter District'
b'HUME R-VIII',b'Missouri',2915330.0,29013.0,b'HUME R-VIII'
b'HUMPHREY PUBLIC SCHOOLS',b'Nebraska',3172150.0,31141.0,b'HUMPHREY PUBLIC SCHOOLS'
b'HUMPHREYS CO SCHOOL DIST',b'Mississippi',2802040.0,28053.0,b'HUMPHREYS CO SCHOOL DIST'
b'HUMPHREYS COUNTY',b'Tennessee',4701980.0,47085.0,b'Humphreys County'
b'HUNT ISD',b'Texas',4823970.0,48265.0,b'HUNT ISD'
b'HUNTER-TANNERSVILLE CENTRAL SCHOOL DISTRICT',b'New York',3615060.0,36039.0,b'HUNTER-TANNERSVILLE CENTRAL SCHOOL DISTRICT'
b'HUNTERDON CENTRAL REGIONAL HIGH SCHOOL DISTRICT',b'New Jersey',3407590.0,34019.0,b'Hunterdon Central Regional High School District'
b'HUNTERDON COUNTY EDUCATIONAL SERVICES COMMISSION',b'New Jersey',3480360.0,34019.0,b'Hunterdon County Educational Services Commission'
b'HUNTERDON COUNTY VOCATIONAL SCHOOL DISTRICT',b'New Jersey',3400050.0,34019.0,b'Hunterdon County Vocational School District'
b'HUNTINGDON AREA SD',b'Pennsylvania',4212090.0,42061.0,b'Huntingdon Area SD'
b'HUNTINGDON COUNTY CAREER AND TECHNOLOGY CENTER',b'Pennsylvania',4280250.0,42061.0,b'Huntingdon County CTC'
b'HUNTINGDON SPECIAL SCHOOL DISTRICT',b'Tennessee',4702010.0,47017.0,b'Huntingdon Special School District'
b'HUNTINGTON BEACH CITY ELEMENTARY',b'California',618030.0,6059.0,b'Huntington Beach City Elementary'
b'HUNTINGTON BEACH UNION HIGH',b'California',618060.0,6059.0,b'Huntington Beach Union High'
b'HUNTINGTON CO COM SCH CORP',b'Indiana',1804710.0,18069.0,b'Huntington Co Com Sch Corp'
b'HUNTINGTON ISD',b'Texas',4824000.0,48005.0,b'HUNTINGTON ISD'
b'HUNTINGTON LOCAL',b'Ohio',3904950.0,39141.0,b'Huntington Local'
b'HUNTINGTON SD 16J',b'Oregon',4106600.0,41001.0,b'Huntington SD 16J'
b'HUNTINGTON UNION FREE SCHOOL DISTRICT',b'New York',3615090.0,36103.0,b'HUNTINGTON UNION FREE SCHOOL DISTRICT'
b'HUNTLEY COMM SCH DIST 158',b'Illinois',1719830.0,17111.0,b'Huntley Community School District 158'
b'HUNTLEY PROJECT K-12 SCHOOLS',b'Montana',3014700.0,30111.0,b'Huntley Project K-12 Schools'
b'HUNTSVILLE CITY',b'Alabama',101800.0,1089.0,b'Huntsville City'
b'HUNTSVILLE ISD',b'Texas',4824030.0,48471.0,b'HUNTSVILLE ISD'
b'HUNTSVILLE SCHOOL DISTRICT',b'Arkansas',508130.0,5087.0,b'HUNTSVILLE SCHOOL DISTRICT'
b'HUPFELD/W VILLAGE (CHARTER)',b'Oklahoma',4000775.0,40109.0,b'HUPFELD/W VILLAGE (CHARTER)'
b'HURLEY R-I',b'Missouri',2915390.0,29209.0,b'HURLEY R-I'
b'HURLEY SCHOOL DISTRICT',b'Wisconsin',5506750.0,55051.0,b'Hurley School District'
b'HURON ACADEMY',b'Michigan',2600211.0,26099.0,b'Huron Academy'
b'HURON CITY SCHOOLS',b'Ohio',3904413.0,39043.0,b'Huron City Schools'
b'HURON ISD',b'Michigan',2680500.0,26063.0,b'Huron ISD'
b'HURON SCHOOL DISTRICT',b'Michigan',2618930.0,26163.0,b'Huron School District'
b'HURON SCHOOL DISTRICT 02-2',b'South Dakota',4635480.0,46005.0,b'Huron School District 02-2'
b'HURON VALLEY SCHOOLS',b'Michigan',2618990.0,26125.0,b'Huron Valley Schools'
b'HURST-EULESS-BEDFORD ISD',b'Texas',4824060.0,48439.0,b'HURST-EULESS-BEDFORD ISD'
b'HUSTISFORD SCHOOL DISTRICT',b'Wisconsin',5506780.0,55027.0,b'Hustisford School District'
b'HUTCHINSON PUBLIC SCHOOL DISTRICT',b'Minnesota',2714970.0,27085.0,b'HUTCHINSON PUBLIC SCHOOL DISTRICT'
b'HUTCHINSON PUBLIC SCHOOLS',b'Kansas',2007620.0,20155.0,b'Hutchinson Public Schools'
b'HUTSONVILLE CUSD 1',b'Illinois',1719920.0,17033.0,b'Hutsonville CUSD 1'
b'HUTTO ISD',b'Texas',4824100.0,48491.0,b'HUTTO ISD'
b'HYANNIS AREA SCHOOLS',b'Nebraska',3172210.0,31075.0,b'HYANNIS AREA SCHOOLS'
b'HYDABURG CITY SCHOOL DISTRICT',b'Alaska',200330.0,2198.0,b'Hydaburg City School District'
b'HYDE COUNTY SCHOOLS',b'North Carolina',3702280.0,37095.0,b'Hyde County Schools'
b'HYDE LEADERSHIP CHARTER SCHOOL - BROOKLYN',b'New York',3601030.0,36047.0,b'HYDE LEADERSHIP CHARTER SCHOOL - BROOKLYN'
b'HYDE PARK CENTRAL SCHOOL DISTRICT',b'New York',3615180.0,36027.0,b'HYDE PARK CENTRAL SCHOOL DISTRICT'
b'HYDER ELEMENTARY DISTRICT (4502)',b'Arizona',403900.0,4027.0,b'Hyder Elementary District (4502)'
b'HYDESVILLE ELEMENTARY',b'California',618120.0,6023.0,b'Hydesville Elementary'
b'HYDRO-EAKLY',b'Oklahoma',4000032.0,40011.0,b'HYDRO-EAKLY'
b'HYSHAM K-12 SCHOOLS',b'Montana',3014760.0,30103.0,b'Hysham K-12 Schools'
b'I DREAM PCS',b'DISTRICT OF COLUMBIA',1100114.0,11001.0,b'I Dream PCS'
b'I3 ACADEMY',b'ALABAMA',100204.0,1073.0,b'i3 Academy'
b'IBERIA PARISH',b'Louisiana',2200720.0,22045.0,b'Iberia Parish'
b'IBERIA R-V',b'Missouri',2915420.0,29131.0,b'IBERIA R-V'
b'IBERVILLE CHARTER ACADEMY',b'LOUISIANA',2200219.0,22047.0,b'Iberville Charter Academy'
b'IBERVILLE PARISH',b'Louisiana',2200750.0,22047.0,b'Iberville Parish'
b'ICADEMY GLOBAL',b'Michigan',2601040.0,26139.0,b'ICademy Global'
b'ICAHN CHARTER SCHOOL 1',b'New York',3600049.0,36005.0,b'ICAHN CHARTER SCHOOL 1'
b'ICAHN CHARTER SCHOOL 2',b'New York',3600943.0,36005.0,b'ICAHN CHARTER SCHOOL 2'
b'ICAHN CHARTER SCHOOL 3',b'New York',3600955.0,36005.0,b'ICAHN CHARTER SCHOOL 3'
b'ICAHN CHARTER SCHOOL 4',b'New York',3600995.0,36005.0,b'ICAHN CHARTER SCHOOL 4'
b'ICAHN CHARTER SCHOOL 5',b'New York',3601049.0,36005.0,b'ICAHN CHARTER SCHOOL 5'
b'ICAHN CHARTER SCHOOL 6',b'New York',3601069.0,36005.0,b'ICAHN CHARTER SCHOOL 6'
b'ICAHN CHARTER SCHOOL 7',b'New York',3601091.0,36005.0,b'ICAHN CHARTER SCHOOL 7'
b'ICEF INGLEWOOD ELEMENTARY CHARTER ACADEMY DISTRICT',b'CALIFORNIA',601725.0,6037.0,b'ICEF Inglewood Elementary Charter Academy District'
b'ICEF INNOVATION LOS ANGELES CHARTER DISTRICT',b'CALIFORNIA',602263.0,6037.0,b'ICEF Innovation Los Angeles Charter District'
b'ICEF VIEW PARK PREPARATORY ELEMENTARY DISTRICT',b'CALIFORNIA',601881.0,6037.0,b'ICEF View Park Preparatory Elementary District'
b'ICEF VIEW PARK PREPARATORY HIGH DISTRICT',b'CALIFORNIA',601731.0,6037.0,b'ICEF View Park Preparatory High District'
b'ICEF VIEW PARK PREPARATORY MIDDLE DISTRICT',b'CALIFORNIA',602300.0,6037.0,b'ICEF View Park Preparatory Middle District'
b'ICEF VISTA ELEMENTARY ACADEMY DISTRICT',b'CALIFORNIA',602368.0,6037.0,b'ICEF Vista Elementary Academy District'
b'ICEF VISTA MIDDLE ACADEMY DISTRICT',b'CALIFORNIA',601918.0,6037.0,b'ICEF Vista Middle Academy District'
b'IDA PUBLIC SCHOOL DISTRICT',b'Michigan',2619050.0,26115.0,b'Ida Public School District'
b'IDABEL',b'Oklahoma',4015370.0,40089.0,b'IDABEL'
b'IDAHO ARTS CHARTER SCHOOL INC.',b'IDAHO',1600204.0,16027.0,b'IDAHO ARTS CHARTER SCHOOL INC.'
b'IDAHO BUREAU OF EDUCATIONAL SERVICES FOR THE DEAF AND THE BL',b'Idaho',1603511.0,16047.0,b'IDAHO BUREAU OF EDUCATIONAL SERVICES FOR THE DEAF AND THE BL'
b'IDAHO COLLEGE AND CAREER READINESS ACADEMY INC.',b'IDAHO',1600171.0,16001.0,b'IDAHO COLLEGE AND CAREER READINESS ACADEMY INC.'
b'IDAHO DEPARTMENT OF CORRECTIONS',b'Idaho',1600017.0,16001.0,b'IDAHO DEPARTMENT OF CORRECTIONS'
b'IDAHO DEPARTMENT OF JUVENILE CORRECTIONS',b'Idaho',1600016.0,16001.0,b'IDAHO DEPARTMENT OF JUVENILE CORRECTIONS'
b'IDAHO DIGITAL LEARNING ACADEMY',b'IDAHO',1600187.0,16001.0,b'Idaho Digital Learning Academy'
b'IDAHO FALLS DISTRICT',b'Idaho',1601530.0,16019.0,b'IDAHO FALLS DISTRICT'
b'IDAHO SCIENCE AND TECHNOLOGY CHARTER SCHOOL INC.',b'Idaho',1600145.0,16011.0,b'IDAHO SCIENCE AND TECHNOLOGY CHARTER SCHOOL INC.'
b'IDAHO STEM ACADEMY INC.',b'Idaho',1600169.0,16011.0,b'IDAHO STEM ACADEMY INC.'
b'IDAHO VIRTUAL ACADEMY INC.',b'Idaho',1600004.0,16001.0,b'IDAHO VIRTUAL ACADEMY INC.'
b'IDAHO VIRTUAL EDUCATION PARTNERS INC.',b'Idaho',1600148.0,16001.0,b'IDAHO VIRTUAL EDUCATION PARTNERS INC.'
b'IDAHO VIRTUAL HIGH SCHOOL INC.',b'Idaho',1600005.0,16039.0,b'IDAHO VIRTUAL HIGH SCHOOL INC.'
b'IDALIA RJ-3 SCHOOL DISTRICT',b'Colorado',800018.0,8125.0,b'Idalia RJ-3 School District'
b'IDALOU ISD',b'Texas',4824120.0,48303.0,b'IDALOU ISD'
b'IDEA PCS',b'District of Columbia',1100013.0,11001.0,b'IDEA PCS'
b'IDEA PUBLIC SCHOOLS',b'LOUISIANA',2200310.0,22033.0,b'IDEA Public Schools'
b'IDEA PUBLIC SCHOOLS',b'Texas',4800211.0,48215.0,b'IDEA PUBLIC SCHOOLS'
b'IDITAROD AREA SCHOOL DISTRICT',b'Alaska',200520.0,2290.0,b'Iditarod Area School District'
b'IDJJ SCH DIST 428',b'Illinois',1700006.0,17031.0,b'IDJJ Sch Dist 428'
b'IEMPIRE ACADEMY DISTRICT',b'CALIFORNIA',602464.0,6071.0,b'iEmpire Academy District'
b'IFTIN CHARTER DISTRICT',b'CALIFORNIA',601527.0,6073.0,b'Iftin Charter District'
b'IGNACIO SCHOOL DISTRICT NO. 11JT',b'Colorado',804770.0,8067.0,b'Ignacio School District No. 11Jt'
b'IGNITE ACHIEVEMENT ACADEMY',b'INDIANA',1800190.0,18097.0,b'Ignite Achievement Academy'
b'IGNITE ENTREPRENEURSHIP ACADEMY',b'UTAH',4900194.0,49049.0,b'Ignite Entrepreneurship Academy'
b'IGO ONO PLATINA UNION ELEMENTARY',b'California',618160.0,6089.0,b'Igo Ono Platina Union Elementary'
b'IKM-MANNING COMM SCHOOL DISTRICT',b'Iowa',1914880.0,19027.0,b'IKM-Manning Comm School District'
b'IL DEPT OF CHLDRN AND FAMILY SVCS',b'ILLINOIS',1701429.0,17031.0,b'IL Dept of Children and Family Services'
b'IL MATHEMATICS & SCIENCE ACADEMY',b'Illinois',1700101.0,17089.0,b'Illinois Mathematics & Science Academy'
b'IL SPEC ED CHARTER COOP',b'ILLINOIS',1701441.0,17031.0,b'IL Spec Ed Charter Coop'
b'IL VALLEY CENTRAL USD 321',b'Illinois',1719970.0,17143.0,b'Il Valley Central USD 321'
b'ILEAD AGUA DULCE DISTRICT',b'CALIFORNIA',602174.0,6037.0,b'iLead Agua Dulce District'
b'ILEAD HYBRID DISTRICT',b'CALIFORNIA',602482.0,6037.0,b'iLEAD Hybrid District'
b'ILEAD LANCASTER CHARTER DISTRICT',b'CALIFORNIA',602060.0,6037.0,b'iLEAD Lancaster Charter District'
b'ILEAD ONLINE DISTRICT',b'CALIFORNIA',601806.0,6037.0,b'iLEAD Online District'
b'ILEAD SPRING MEADOWS',b'OHIO',3901585.0,39095.0,b'iLEAD Spring Meadows'
b'ILLINI BLUFFS CUSD 327',b'Illinois',1719960.0,17143.0,b'Illini Bluffs CUSD 327'
b'ILLINI CENTRAL CUSD 189',b'Illinois',1700113.0,17125.0,b'Illini Central CUSD 189'
b'ILLINI WEST H S DIST 307',b'Illinois',1701384.0,17067.0,b'Illini West H S Dist 307'
b'IMAGINE AKRON ACADEMY',b'Ohio',3901377.0,39153.0,b'Imagine Akron Academy'
b'IMAGINE AVONDALE ELEMENTARY INC. (89784)',b'Arizona',400780.0,4013.0,b'Imagine Avondale Elementary Inc. (89784)'
b'IMAGINE AVONDALE MIDDLE INC. (90162)',b'Arizona',400802.0,4013.0,b'Imagine Avondale Middle Inc. (90162)'
b'IMAGINE CAMELBACK MIDDLE INC. (89561)',b'Arizona',400756.0,4013.0,b'Imagine Camelback Middle Inc. (89561)'
b'IMAGINE CHARTER ELEMENTARY AT CAMELBACK INC. (88365)',b'Arizona',400445.0,4013.0,b'Imagine Charter Elementary at Camelback Inc. (88365)'
b'IMAGINE CHARTER ELEMENTARY AT DESERT WEST INC. (88367)',b'Arizona',400438.0,4013.0,b'Imagine Charter Elementary at Desert West Inc. (88367)'
b'IMAGINE COLUMBUS PRIMARY ACADEMY',b'Ohio',3901521.0,39049.0,b'Imagine Columbus Primary School'
b'IMAGINE COOLIDGE ELEMENTARY INC. (89786)',b'Arizona',400766.0,4021.0,b'Imagine Coolidge Elementary Inc. (89786)'
b'IMAGINE DESERT WEST MIDDLE INC. (89563)',b'Arizona',400754.0,4013.0,b'Imagine Desert West Middle Inc. (89563)'
b'IMAGINE ENVIRONMENTAL SCIENCE ACADEMY',b'Ohio',3901488.0,39095.0,b'Imagine Environmental Science Academy'
b'IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS',b'Texas',4801429.0,48085.0,b'IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS'
b'IMAGINE LEADERSHIP ACADEMY',b'Ohio',3901549.0,39153.0,b'Imagine Leadership Academy'
b'IMAGINE ME LEADERSHIP CHARTER SCHOOL',b'New York',3601031.0,36047.0,b'IMAGINE ME LEADERSHIP CHARTER SCHOOL'
b'IMAGINE MIDDLE AT EAST MESA INC. (88369)',b'Arizona',400442.0,4013.0,b'Imagine Middle at East Mesa Inc. (88369)'
b'IMAGINE MIDDLE AT SURPRISE INC. (88372)',b'Arizona',400441.0,4013.0,b'Imagine Middle at Surprise Inc. (88372)'
b'IMAGINE PREP COOLIDGE INC. (90034)',b'Arizona',400769.0,4021.0,b'Imagine Prep Coolidge Inc. (90034)'
b'IMAGINE PREP SUPERSTITION INC. (89788)',b'Arizona',400783.0,4021.0,b'Imagine Prep Superstition Inc. (89788)'
b'IMAGINE PREP SURPRISE INC. (89790)',b'Arizona',400770.0,4013.0,b'Imagine Prep Surprise Inc. (89790)'
b'IMAGINE SCHOOLS RIVERSIDE COUNTY DISTRICT',b'CALIFORNIA',602372.0,6065.0,b'Imagine Schools Riverside County District'
b'IMAGINE SUPERSTITION MIDDLE INC. (90160)',b'Arizona',400810.0,4021.0,b'Imagine Superstition Middle Inc. (90160)'
b'IMBLER SD 11',b'Oregon',4106630.0,41061.0,b'Imbler SD 11'
b'IMBODEN CHARTER SCHOOL DISTRICT',b'Arkansas',500061.0,5075.0,b'IMBODEN CHARTER SCHOOL DISTRICT'
b'IMHOTEP INSTITUTE CHS',b'Pennsylvania',4200038.0,42101.0,b'Imhotep Institute CHS'
b'IMLAY CITY COMMUNITY SCHOOLS',b'Michigan',2619100.0,26087.0,b'Imlay City Community Schools'
b'IMPACT | COMMENCEMENT BAY ELEMENTARY',b'WASHINGTON',5300354.0,53053.0,b'Impact Commencement Bay Elementary'
b'IMPACT | PUGET SOUND ELEMENTARY',b'WASHINGTON',5300345.0,53033.0,b'Impact Puget Sound Elementary'
b'IMPACT | SALISH SEA ELEMENTARY',b'WASHINGTON',5300348.0,53033.0,b'Impact Salish Sea Elementary'
b'IMPACT ACADEMY OF ARTS & TECHNOLOGY DISTRICT',b'CALIFORNIA',601647.0,6001.0,b'Impact Academy of Arts & Technology District'
b'IMPACT CHARTER SCHOOL',b'LOUISIANA',2200190.0,22033.0,b'Impact Charter School'
b'IMPERIAL COUNTY OFFICE OF EDUCATION',b'California',691010.0,6025.0,b'Imperial County Office of Education'
b'IMPERIAL UNIFIED',b'California',618210.0,6025.0,b'Imperial Unified'
b'IMPERIAL VALLEY ROP',b'California',600101.0,6025.0,b'Imperial Valley ROP'
b'IMPERIAL VALLEY ROP JPA',b'California',601405.0,6025.0,b'Imperial Valley ROP JPA'
b'IN MATH & SCIENCE ACADEMY',b'Indiana',1800067.0,18097.0,b'IN Math & Science Academy'
b'IN MATH & SCIENCE ACADEMY - NORTH',b'Indiana',1800094.0,18097.0,b'IN Math & Science Academy - North'
b'IN SCH FOR THE BLIND & VIS IMPRD',b'Indiana',1800023.0,18097.0,b'IN Sch for the Blind & Vis Imprd'
b'INCHELIUM SCHOOL DISTRICT',b'Washington',5300002.0,53019.0,b'Inchelium School District'
b'INCITO SCHOOLS (91326)',b'Arizona',400885.0,4013.0,b'Incito Schools (91326)'
b'INDEPENDENCE',b'Kansas',2007650.0,20125.0,b'Independence'
b'INDEPENDENCE 30',b'Missouri',2915480.0,29095.0,b'INDEPENDENCE 30'
b'INDEPENDENCE COMM SCHOOL DISTRICT',b'Iowa',1914580.0,19019.0,b'Independence Comm School District'
b'INDEPENDENCE CS',b'Pennsylvania',4200087.0,42101.0,b'Independence CS'
b'INDEPENDENCE CS WEST',b'PENNSYLVANIA',4200893.0,42101.0,b'Independence CS West'
b'INDEPENDENCE LOCAL',b'Ohio',3904656.0,39035.0,b'Independence Local'
b'INDEPENDENCE NONTRADITIONAL SCHOOL - MIDDLE',b'Virginia',5100092.0,51153.0,b'INDEPENDENCE NONTRADITIONAL SCHOOL - MIDDLE'
b'INDEPENDENCE SCHOOL DISTRICT',b'Wisconsin',5506810.0,55121.0,b'Independence School District'
b'INDEPENDENT ELEM',b'Montana',3014820.0,30111.0,b'Independent Elem'
